"Cor","CorrType","EdgeBetweenness","interaction","name","Pvalue","selected","shared interaction","shared name"
"-0.2518","Negative","23.686276126520085","interacts with","cc72eaa86c2be573136acdf59cda9fc3_oomycete (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria","0.004","false","interacts with","cc72eaa86c2be573136acdf59cda9fc3_oomycete (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria"
"-0.2596","Negative","19.54267340406316","interacts with","5a7fabdfc2b1915ca336712e300eb727_eukaryote (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria","0.005","false","interacts with","5a7fabdfc2b1915ca336712e300eb727_eukaryote (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria"
"0.1666","Positive","45.88247871182833","interacts with","61781934a20bd3368b0737d605f29468_bacteria (interacts with) c2ff2968fc5eb368695f90ee12c20b86_bacteria","0.046","false","interacts with","61781934a20bd3368b0737d605f29468_bacteria (interacts with) c2ff2968fc5eb368695f90ee12c20b86_bacteria"
"-0.1898","Negative","28.24162992507275","interacts with","eb9cdec519d0a08dcfb47dfac31c9b82_bacteria (interacts with) c2ff2968fc5eb368695f90ee12c20b86_bacteria","0.024","false","interacts with","eb9cdec519d0a08dcfb47dfac31c9b82_bacteria (interacts with) c2ff2968fc5eb368695f90ee12c20b86_bacteria"
"0.2009","Positive","21.45398439098903","interacts with","c256985cf7f385fa0e158aac9692f64d_bacteria (interacts with) c2ff2968fc5eb368695f90ee12c20b86_bacteria","0.014","false","interacts with","c256985cf7f385fa0e158aac9692f64d_bacteria (interacts with) c2ff2968fc5eb368695f90ee12c20b86_bacteria"
"-0.2117","Negative","31.655877202691993","interacts with","9fc26e6596f0b0189c6b268cc4d8d67b_fungi (interacts with) c2ff2968fc5eb368695f90ee12c20b86_bacteria","0.02","false","interacts with","9fc26e6596f0b0189c6b268cc4d8d67b_fungi (interacts with) c2ff2968fc5eb368695f90ee12c20b86_bacteria"
"-0.2303","Negative","30.54040713241539","interacts with","4745af0659fd8962bab4c6f134456248_fungi (interacts with) c2ff2968fc5eb368695f90ee12c20b86_bacteria","0.005","false","interacts with","4745af0659fd8962bab4c6f134456248_fungi (interacts with) c2ff2968fc5eb368695f90ee12c20b86_bacteria"
"0.2201","Positive","16.205424251067612","interacts with","99318de41dd49424cad9bf4501ab86ce_eukaryote (interacts with) c2ff2968fc5eb368695f90ee12c20b86_bacteria","0.016","false","interacts with","99318de41dd49424cad9bf4501ab86ce_eukaryote (interacts with) c2ff2968fc5eb368695f90ee12c20b86_bacteria"
"-0.1705","Negative","20.991293681149187","interacts with","1f97c28f91d9a257362352f7c2958eb5_eukaryote (interacts with) c2ff2968fc5eb368695f90ee12c20b86_bacteria","0.048","false","interacts with","1f97c28f91d9a257362352f7c2958eb5_eukaryote (interacts with) c2ff2968fc5eb368695f90ee12c20b86_bacteria"
"0.1828","Positive","16.063677792281396","interacts with","acc6f82c660def2e2f383dfb4f075933_eukaryote (interacts with) c2ff2968fc5eb368695f90ee12c20b86_bacteria","0.049","false","interacts with","acc6f82c660def2e2f383dfb4f075933_eukaryote (interacts with) c2ff2968fc5eb368695f90ee12c20b86_bacteria"
"0.4563","Positive","9.583376753964988","interacts with","c861b1ec2e390a9906dec7ee827ab766_bacteria (interacts with) 00fae520fc99f4b43a079be78714514a_bacteria","0.001","false","interacts with","c861b1ec2e390a9906dec7ee827ab766_bacteria (interacts with) 00fae520fc99f4b43a079be78714514a_bacteria"
