"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"1.8555555555555556","0.007624155432902437","0.5389221556886228","0.4857142857142857","21","3","false","00fae520fc99f4b43a079be78714514a_bacteria","24.61904761904762","0","21","0","0.9791327913279133","false","0","00fae520fc99f4b43a079be78714514a_bacteria","484","0.30023228803716606"
"1.8111111111111111","0.004866328205834913","0.5521472392638037","0.5571428571428572","21","3","false","6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria","28.095238095238095","0","21","0","0.9802168021680218","false","0","6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria","450","0.3266888150609081"
"1.8111111111111111","0.005377166468262191","0.5521472392638037","0.543859649122807","19","3","false","8a9c84e7a7a0bbd8676a92d4435fe8a4_bacteria","28.263157894736842","0","19","0","0.9802168021680218","false","0","8a9c84e7a7a0bbd8676a92d4435fe8a4_bacteria","346","0.32425892316999394"
"1.7","0.01495422562379768","0.5882352941176471","0.4458128078817734","29","3","false","c861b1ec2e390a9906dec7ee827ab766_bacteria","24.724137931034484","0","29","0","0.9829268292682927","false","0","c861b1ec2e390a9906dec7ee827ab766_bacteria","964","0.2809561128526646"
"1.7222222222222223","0.00547800279881011","0.5806451612903225","0.5584045584045584","27","3","false","55e2f6614bc214f35d8745edeee16727_bacteria","27.074074074074073","0","27","0","0.9823848238482386","false","0","55e2f6614bc214f35d8745edeee16727_bacteria","534","0.30765993265993263"
"1.6777777777777778","0.015968437210708942","0.5960264900662251","0.4160919540229885","30","3","false","61781934a20bd3368b0737d605f29468_bacteria","25.433333333333334","0","30","0","0.9834688346883469","false","0","61781934a20bd3368b0737d605f29468_bacteria","1050","0.2857677902621723"
"1.7666666666666666","0.00619597958128429","0.5660377358490566","0.5151515151515151","22","3","false","11d0b6aaf61245ed190220edb6779865_bacteria","26.5","0","22","0","0.9813008130081301","false","0","11d0b6aaf61245ed190220edb6779865_bacteria","488","0.29775280898876405"
"1.7444444444444445","0.008382315055164881","0.5732484076433121","0.4633333333333333","25","3","false","334a4708e1cedc4f04c44f0f47d2f29e_bacteria","25.2","0","25","0","0.9818428184281842","false","0","334a4708e1cedc4f04c44f0f47d2f29e_bacteria","656","0.2863636363636364"
"1.6888888888888889","0.011624677434204995","0.5921052631578947","0.4735632183908046","30","3","false","943689dc4b1c713707c1520019c4e91d_bacteria","26.566666666666666","0","30","0","0.9831978319783198","false","0","943689dc4b1c713707c1520019c4e91d_bacteria","874","0.3018939393939394"
"1.5666666666666667","0.034689527559689536","0.6382978723404256","0.349527665317139","39","2","false","c4e15ee4c6a6debb8ef308d21e737e8e_bacteria","24.615384615384617","0","39","0","0.9861788617886178","false","0","c4e15ee4c6a6debb8ef308d21e737e8e_bacteria","2004","0.2762892538173437"
"1.6777777777777778","0.015333680970159979","0.5960264900662251","0.39408866995073893","29","2","false","a4830ec2beeeeaef48f6d7f401df4241_fungi","25.862068965517242","0","29","0","0.9834688346883469","false","0","a4830ec2beeeeaef48f6d7f401df4241_fungi","1134","0.28735632183908044"
"1.6666666666666667","0.012078251206387064","0.6","0.4482758620689655","30","2","false","12907f7fde00bb40c358a652d79ffcb6_fungi","26.166666666666668","0","30","0","0.983739837398374","false","0","12907f7fde00bb40c358a652d79ffcb6_fungi","996","0.29074074074074074"
"1.6111111111111112","0.0146277907144672","0.6206896551724138","0.4634920634920635","36","3","false","89206af4589b68a36b3313e1be7c6448_fungi","26.63888888888889","0","36","0","0.9850948509485095","false","0","89206af4589b68a36b3313e1be7c6448_fungi","1336","0.29931335830212236"
"1.6444444444444444","0.012914056761847452","0.6081081081081081","0.4563279857397504","34","3","false","9a06988e426d7ef4663c568dcd331ca0_fungi","26.852941176470587","0","34","0","0.9842818428184281","false","0","9a06988e426d7ef4663c568dcd331ca0_fungi","1162","0.30514705882352944"
"1.6333333333333333","0.014010687189121086","0.6122448979591837","0.4602272727272727","33","2","false","6dec4a7642385d3256e7c0ab2c05366d_fungi","26.666666666666668","0","33","0","0.9845528455284553","false","0","6dec4a7642385d3256e7c0ab2c05366d_fungi","1124","0.2962962962962963"
"1.7","0.016078531770098214","0.5882352941176471","0.4482758620689655","29","3","false","5743cd46a67f26fc2a0a910a35f1b12f_fungi","25.79310344827586","0","29","0","0.9829268292682927","false","0","5743cd46a67f26fc2a0a910a35f1b12f_fungi","1088","0.29310344827586204"
"1.7555555555555555","0.010102436478799996","0.569620253164557","0.4384057971014493","24","3","false","55d3ffaf20a40a432de7989e6d6d5a00_fungi","25.166666666666668","0","24","0","0.9815718157181572","false","0","55d3ffaf20a40a432de7989e6d6d5a00_fungi","682","0.2859848484848485"
"1.6333333333333333","0.015842882561265762","0.6122448979591837","0.4436974789915966","35","3","false","c0a6013edcd750f053a34cc2e955055c_fungi","26.0","0","35","0","0.9845528455284553","false","0","c0a6013edcd750f053a34cc2e955055c_fungi","1314","0.29545454545454547"
"1.5777777777777777","0.020265032100479922","0.6338028169014085","0.44129554655870445","39","3","false","b5b89cca5a0cb0c01db814cb6f693f9f_fungi","26.692307692307693","0","39","0","0.9859078590785908","false","0","b5b89cca5a0cb0c01db814cb6f693f9f_fungi","1466","0.2999135695764909"
