Id,name,BetweennessCentrality,ClosenessCentrality,Degree,NeighborhoodConnectivity,Stress,Radiality,TopologicalCoefficient,kingdom
0001,00fae520fc99f4b43a079be78714514a_bacteria,0.0076241554329024,0.5389221556886228,21,24.61904761904762,484,0.9791327913279132,0.300232288037166,bacteria
0002,6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,0.0048663282058349,0.5521472392638037,21,28.09523809523809,450,0.9802168021680218,0.3266888150609081,bacteria
0003,8a9c84e7a7a0bbd8676a92d4435fe8a4_bacteria,0.0053771664682621,0.5521472392638037,19,28.26315789473684,346,0.9802168021680218,0.3242589231699939,bacteria
0004,c861b1ec2e390a9906dec7ee827ab766_bacteria,0.0149542256237976,0.5882352941176471,29,24.724137931034484,964,0.9829268292682928,0.2809561128526646,bacteria
0005,55e2f6614bc214f35d8745edeee16727_bacteria,0.0054780027988101,0.5806451612903225,27,27.074074074074076,534,0.9823848238482386,0.3076599326599326,bacteria
0006,61781934a20bd3368b0737d605f29468_bacteria,0.0159684372107089,0.5960264900662251,30,25.433333333333334,1050,0.9834688346883468,0.2857677902621723,bacteria
0007,11d0b6aaf61245ed190220edb6779865_bacteria,0.0061959795812842,0.5660377358490566,22,26.5,488,0.98130081300813,0.297752808988764,bacteria
0008,334a4708e1cedc4f04c44f0f47d2f29e_bacteria,0.0083823150551648,0.5732484076433121,25,25.2,656,0.9818428184281842,0.2863636363636364,bacteria
0009,943689dc4b1c713707c1520019c4e91d_bacteria,0.0116246774342049,0.5921052631578947,30,26.566666666666663,874,0.9831978319783198,0.3018939393939394,bacteria
0010,c4e15ee4c6a6debb8ef308d21e737e8e_bacteria,0.0346895275596895,0.6382978723404256,39,24.615384615384617,2004,0.9861788617886178,0.2762892538173437,bacteria
0011,a4830ec2beeeeaef48f6d7f401df4241_fungi,0.0153336809701599,0.5960264900662251,29,25.86206896551724,1134,0.9834688346883468,0.2873563218390804,fungi
0012,12907f7fde00bb40c358a652d79ffcb6_fungi,0.012078251206387,0.6,30,26.166666666666668,996,0.983739837398374,0.2907407407407407,fungi
0013,89206af4589b68a36b3313e1be7c6448_fungi,0.0146277907144672,0.6206896551724138,36,26.63888888888889,1336,0.9850948509485096,0.2993133583021223,fungi
0014,9a06988e426d7ef4663c568dcd331ca0_fungi,0.0129140567618474,0.6081081081081081,34,26.852941176470587,1162,0.984281842818428,0.3051470588235294,fungi
0015,6dec4a7642385d3256e7c0ab2c05366d_fungi,0.014010687189121,0.6122448979591837,33,26.666666666666668,1124,0.9845528455284552,0.2962962962962963,fungi
0016,5743cd46a67f26fc2a0a910a35f1b12f_fungi,0.0160785317700982,0.5882352941176471,29,25.79310344827586,1088,0.9829268292682928,0.293103448275862,fungi
0017,55d3ffaf20a40a432de7989e6d6d5a00_fungi,0.0101024364787999,0.569620253164557,24,25.166666666666668,682,0.9815718157181572,0.2859848484848485,fungi
0018,c0a6013edcd750f053a34cc2e955055c_fungi,0.0158428825612657,0.6122448979591837,35,26.0,1314,0.9845528455284552,0.2954545454545454,fungi
0019,b5b89cca5a0cb0c01db814cb6f693f9f_fungi,0.0202650321004799,0.6338028169014085,39,26.692307692307693,1466,0.9859078590785908,0.2999135695764909,fungi
0020,6f919188220b0c82be4439bb63dd189e_fungi,0.0181020095910112,0.6,30,25.53333333333333,1152,0.983739837398374,0.2837037037037037,fungi
0021,cc72eaa86c2be573136acdf59cda9fc3_oomycete,0.0078845821483631,0.5056179775280899,15,15.933333333333334,406,0.9761517615176152,0.2069264069264069,oomycete
