"Cor","CorrType","EdgeBetweenness","interaction","name","Pvalue","selected","shared interaction","shared name"
"0.2488","Positive","9.51789566945138","interacts with","cfad561ce0a5f1aaddf0970d204a1e35_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria","0.003","false","interacts with","cfad561ce0a5f1aaddf0970d204a1e35_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria"
"0.1594","Positive","18.594142237558994","interacts with","61ee56e0408347b925580754c0228fac_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria","0.014","false","interacts with","61ee56e0408347b925580754c0228fac_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria"
"-0.2425","Negative","11.268830133826107","interacts with","f4b9d485eddb4c75564e197d92e91abd_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria","0.005","false","interacts with","f4b9d485eddb4c75564e197d92e91abd_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria"
"0.2387","Positive","10.474946832654918","interacts with","520fe6acd695f8e09998c6746855e420_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria","0.002","false","interacts with","520fe6acd695f8e09998c6746855e420_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria"
"0.2503","Positive","9.87796454686491","interacts with","3ade6fe2d83cee514a202e7c8237dc14_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria","0.002","false","interacts with","3ade6fe2d83cee514a202e7c8237dc14_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria"
"0.1855","Positive","9.469092477501777","interacts with","eb434ae05f7cf08515f5a9eedc7b77b9_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria","0.02","false","interacts with","eb434ae05f7cf08515f5a9eedc7b77b9_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria"
"0.1781","Positive","15.837090889178778","interacts with","a596ae48f107278dfad5dc9a569a633f_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria","0.026","false","interacts with","a596ae48f107278dfad5dc9a569a633f_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria"
"0.3102","Positive","9.370724799758165","interacts with","c0136f74153f1adf7ea7091baa9525d8_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria","0.001","false","interacts with","c0136f74153f1adf7ea7091baa9525d8_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria"
"-0.1863","Negative","11.063147957121139","interacts with","54693a9cf3c76c547dc9b56b6e9b266f_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria","0.027","false","interacts with","54693a9cf3c76c547dc9b56b6e9b266f_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria"
"0.3695","Positive","8.890535989684876","interacts with","f26613069d47c75ba35ac6e391427f1d_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria","0.001","false","interacts with","f26613069d47c75ba35ac6e391427f1d_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria"
"-0.1807","Negative","14.916678073996314","interacts with","3c2ce1fb455f0c4db329115c9d355ab3_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria","0.028","false","interacts with","3c2ce1fb455f0c4db329115c9d355ab3_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria"
"0.1841","Positive","10.513466453439076","interacts with","bd6595653c85ab4ed0535ca16ddfa7ae_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria","0.038","false","interacts with","bd6595653c85ab4ed0535ca16ddfa7ae_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria"
"0.3165","Positive","8.416451436889488","interacts with","727a0019cd714f3c1254b93a94a9aabe_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria","0.001","false","interacts with","727a0019cd714f3c1254b93a94a9aabe_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria"
"0.1933","Positive","10.314271818695687","interacts with","87175665ea2f0ba525a6c4bce5e2d7f2_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria","0.011","false","interacts with","87175665ea2f0ba525a6c4bce5e2d7f2_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria"
"-0.3767","Negative","8.871803019808889","interacts with","427faf4c79ebf8288c8dc1c34cb6273e_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria","0.001","false","interacts with","427faf4c79ebf8288c8dc1c34cb6273e_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria"
"0.3895","Positive","7.765933755900655","interacts with","2f25e52d298c8f4f1f4b648383bed31c_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria","0.001","false","interacts with","2f25e52d298c8f4f1f4b648383bed31c_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria"
"0.3559","Positive","9.039016540906504","interacts with","53d2340d5f7b4ef070da39397346b625_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria","0.001","false","interacts with","53d2340d5f7b4ef070da39397346b625_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria"
