Feature ID	Confidence	Domain	Phylum	Class	Order	Family	Genus	Species	Origin	Kingdom	Supergroup	Division	Subdivision
723238646da99288f70f0922daf22154_fungi	0.999771462102667		Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Helotiales_gen_Incertae_sedis	Helotiales_sp	UNITE	Fungi			
1fefcce6c7c6aea80a507f59fd6ecb63_fungi	0.7436809051852945		Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae			UNITE	Fungi			
2ce6dfb141a0e5e21921e53a9812e4f4_fungi	0.9999283153694036		Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Chaetasbolisia	Chaetasbolisia_longiseta	UNITE	Fungi			
24dab6462c1c85a84bc00cc612f14202_fungi	0.7062160450586841		Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	Cladosporium_sphaerospermum	UNITE	Fungi			
d4899557d63f96342620bf9b5967dc85_fungi	0.9972390447385502		Ascomycota	Eurotiomycetes	Chaetothyriales	Cyphellophoraceae	Cyphellophoraceae_gen_Incertae_sedis	Cyphellophoraceae_sp	UNITE	Fungi			
90435fef97512fde08bab9a94f7b8b66_fungi	0.9982518712396438		Ascomycota	Taphrinomycetes	Taphrinales	Taphrinaceae	Taphrina	Taphrina_betulina	UNITE	Fungi			
a34686029f3c49d4745cfcf13ce690f4_fungi	0.999911773005001		Fungi_phy_Incertae_sedis	Fungi_cls_Incertae_sedis	Fungi_ord_Incertae_sedis	Fungi_fam_Incertae_sedis	Fungi_gen_Incertae_sedis	Fungi_sp	UNITE	Fungi			
43e395c609b8237a015d443021efa4ff_fungi	0.8708218855501746		Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Phaeosphaeria	Phaeosphaeria_sp	UNITE	Fungi			
9a3577f19333c5849c86f41b94ae1ddb_fungi	0.9249419362886167								UNITE	Fungi			
e778db15a5d74c2b427afcfbff10a736_fungi	0.9999991238755542		Chytridiomycota	Rhizophlyctidomycetes	Rhizophlyctidales	Rhizophlyctidales_fam_Incertae_sedis	Rhizophlyctidales_gen_Incertae_sedis	Rhizophlyctidales_sp	UNITE	Fungi			
887d18a360db8c7ded40a93193b7d9cd_fungi	0.8599294355902257		Ascomycota	Dothideomycetes	Venturiales	Venturiaceae	Venturia	Venturia_fuliginosa	UNITE	Fungi			
9e5307d1bcca19f7ffd68f8302b3d755_fungi	0.8792686910465667		Fungi_phy_Incertae_sedis	Fungi_cls_Incertae_sedis	Fungi_ord_Incertae_sedis	Fungi_fam_Incertae_sedis	Fungi_gen_Incertae_sedis	Fungi_sp	UNITE	Fungi			
9b82d1af37158f0ad1e66065804985cb_fungi	0.7836416751322405		Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Cladophialophora	Cladophialophora_sp	UNITE	Fungi			
811e0d2bc3fd220ff065ca462e30c35c_fungi	0.9893155994840669		Fungi_phy_Incertae_sedis	Fungi_cls_Incertae_sedis	Fungi_ord_Incertae_sedis	Fungi_fam_Incertae_sedis	Fungi_gen_Incertae_sedis	Fungi_sp	UNITE	Fungi			
da450a938a2d41ff7757c0f1ec379d16_fungi	0.960825726105707		Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Helotiales_gen_Incertae_sedis	Helotiales_sp	UNITE	Fungi			
be18c271bafc89a31ff6a9c9badcb253_fungi	0.9995792623642856		Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria		UNITE	Fungi			
