Node1	Node2	Pvalue	Cor	CorrType
b5b89cca5a0cb0c01db814cb6f693f9f_fungi	00fae520fc99f4b43a079be78714514a_bacteria	0.008	-0.2137	Negative
5f279c746c8e0dc1b9305887f0cbae5a_fungi	00fae520fc99f4b43a079be78714514a_bacteria	0.005	-0.2374	Negative
850f9456f23d337e109baafd956b54d6_eukaryote	00fae520fc99f4b43a079be78714514a_bacteria	0.02	-0.1872	Negative
c861b1ec2e390a9906dec7ee827ab766_bacteria	8a9c84e7a7a0bbd8676a92d4435fe8a4_bacteria	0.006	0.2436	Positive
55e2f6614bc214f35d8745edeee16727_bacteria	8a9c84e7a7a0bbd8676a92d4435fe8a4_bacteria	0.011	0.2305	Positive
61781934a20bd3368b0737d605f29468_bacteria	8a9c84e7a7a0bbd8676a92d4435fe8a4_bacteria	0.006	0.2521	Positive
11d0b6aaf61245ed190220edb6779865_bacteria	8a9c84e7a7a0bbd8676a92d4435fe8a4_bacteria	0.001	0.4119	Positive
943689dc4b1c713707c1520019c4e91d_bacteria	8a9c84e7a7a0bbd8676a92d4435fe8a4_bacteria	0.022	0.1869	Positive
c4e15ee4c6a6debb8ef308d21e737e8e_bacteria	8a9c84e7a7a0bbd8676a92d4435fe8a4_bacteria	0.001	0.3112	Positive
f3f92c383527fe95a92d58291e300654_bacteria	8a9c84e7a7a0bbd8676a92d4435fe8a4_bacteria	0.049	0.1693	Positive
89206af4589b68a36b3313e1be7c6448_fungi	8a9c84e7a7a0bbd8676a92d4435fe8a4_bacteria	0.003	-0.2728	Negative
9a06988e426d7ef4663c568dcd331ca0_fungi	8a9c84e7a7a0bbd8676a92d4435fe8a4_bacteria	0.012	-0.214	Negative
6dec4a7642385d3256e7c0ab2c05366d_fungi	8a9c84e7a7a0bbd8676a92d4435fe8a4_bacteria	0.031	-0.1882	Negative
007761694cceb108c141cce8750b23b5_fungi	8a9c84e7a7a0bbd8676a92d4435fe8a4_bacteria	0.028	-0.1754	Negative
55d3ffaf20a40a432de7989e6d6d5a00_fungi	8a9c84e7a7a0bbd8676a92d4435fe8a4_bacteria	0.029	-0.173	Negative
c0a6013edcd750f053a34cc2e955055c_fungi	8a9c84e7a7a0bbd8676a92d4435fe8a4_bacteria	0.041	-0.1605	Negative
25f16fb9e13dc11d9cdb2563441d93ea_fungi	8a9c84e7a7a0bbd8676a92d4435fe8a4_bacteria	0.046	-0.1657	Negative
b5b89cca5a0cb0c01db814cb6f693f9f_fungi	8a9c84e7a7a0bbd8676a92d4435fe8a4_bacteria	0.034	-0.164	Negative
5f279c746c8e0dc1b9305887f0cbae5a_fungi	8a9c84e7a7a0bbd8676a92d4435fe8a4_bacteria	0.019	-0.1756	Negative
f797cf2765402dd3d1f72f7838c4a54c_oomycete	8a9c84e7a7a0bbd8676a92d4435fe8a4_bacteria	0.017	-0.2032	Negative
6296e399d6b6f58b22cb3ffc96a1bcfe_eukaryote	8a9c84e7a7a0bbd8676a92d4435fe8a4_bacteria	0.037	-0.1663	Negative
5d0942009326032f72c94ca27dc2015d_bacteria	6025a8d68dfe9ed561f3501b70ef5274_bacteria	0.039	0.17	Positive
943689dc4b1c713707c1520019c4e91d_bacteria	6025a8d68dfe9ed561f3501b70ef5274_bacteria	0.005	0.2653	Positive
162bf54549080b290d1ec8b0e6afbc1b_bacteria	6025a8d68dfe9ed561f3501b70ef5274_bacteria	0.001	0.4424	Positive
d0c26a44a7a8b6ee4ba716861fc44da2_bacteria	6025a8d68dfe9ed561f3501b70ef5274_bacteria	0.001	0.388	Positive
c4e15ee4c6a6debb8ef308d21e737e8e_bacteria	6025a8d68dfe9ed561f3501b70ef5274_bacteria	0.002	0.2747	Positive
d48f4cda1feee6851d5bcf2d520066b9_bacteria	6025a8d68dfe9ed561f3501b70ef5274_bacteria	0.015	-0.1931	Negative
613010f6345bf00e94847229463fe089_bacteria	6025a8d68dfe9ed561f3501b70ef5274_bacteria	0.001	0.298	Positive
f3f92c383527fe95a92d58291e300654_bacteria	6025a8d68dfe9ed561f3501b70ef5274_bacteria	0.046	-0.1596	Negative
eb9cdec519d0a08dcfb47dfac31c9b82_bacteria	6025a8d68dfe9ed561f3501b70ef5274_bacteria	0.002	0.307	Positive
cfad561ce0a5f1aaddf0970d204a1e35_bacteria	6025a8d68dfe9ed561f3501b70ef5274_bacteria	0.001	0.3808	Positive
9de1b23e9381d3596dec0fd5a5bfc900_bacteria	6025a8d68dfe9ed561f3501b70ef5274_bacteria	0.002	-0.2562	Negative
958e14f4806af8a06db61870561138f7_bacteria	6025a8d68dfe9ed561f3501b70ef5274_bacteria	0.002	0.3013	Positive
ed6fcc3e0305e5fa551e1c67f33c1226_bacteria	6025a8d68dfe9ed561f3501b70ef5274_bacteria	0.002	0.3392	Positive
cb7f33c9ab6b6cc48e850692a6e57201_bacteria	6025a8d68dfe9ed561f3501b70ef5274_bacteria	0.001	0.3979	Positive
6b9ca3313d241ab32629d7d007bfa458_bacteria	6025a8d68dfe9ed561f3501b70ef5274_bacteria	0.032	0.1425	Positive
c256985cf7f385fa0e158aac9692f64d_bacteria	6025a8d68dfe9ed561f3501b70ef5274_bacteria	0.003	-0.2356	Negative
9fc26e6596f0b0189c6b268cc4d8d67b_fungi	6025a8d68dfe9ed561f3501b70ef5274_bacteria	0.046	-0.1616	Negative
5743cd46a67f26fc2a0a910a35f1b12f_fungi	6025a8d68dfe9ed561f3501b70ef5274_bacteria	0.008	-0.1955	Negative
d4ced3fcf757696111ad371371ff4cce_fungi	6025a8d68dfe9ed561f3501b70ef5274_bacteria	0.037	-0.1706	Negative
6f919188220b0c82be4439bb63dd189e_fungi	6025a8d68dfe9ed561f3501b70ef5274_bacteria	0.031	-0.1524	Negative
8d7bfbf1d9cc089639fe484763c3f188_oomycete	6025a8d68dfe9ed561f3501b70ef5274_bacteria	0.001	0.2738	Positive
1f97c28f91d9a257362352f7c2958eb5_eukaryote	6025a8d68dfe9ed561f3501b70ef5274_bacteria	0.003	0.2309	Positive
d9e763753ea6a20c2a574df095f60580_eukaryote	6025a8d68dfe9ed561f3501b70ef5274_bacteria	0.007	0.1887	Positive
acc6f82c660def2e2f383dfb4f075933_eukaryote	6025a8d68dfe9ed561f3501b70ef5274_bacteria	0.027	-0.169	Negative
ad1bc6953fe661253a1301a0dffd0535_bacteria	871638cacece191a60d3f3fe9407c592_bacteria	0.034	0.1712	Positive
30432de9f6dd4c74cc5042a8d0ece70f_bacteria	871638cacece191a60d3f3fe9407c592_bacteria	0.037	-0.16	Negative
eb9cdec519d0a08dcfb47dfac31c9b82_bacteria	871638cacece191a60d3f3fe9407c592_bacteria	0.031	0.1733	Positive
5743cd46a67f26fc2a0a910a35f1b12f_fungi	871638cacece191a60d3f3fe9407c592_bacteria	0.017	-0.1811	Negative
0a78918b318c9a666440b19941b2c94e_bacteria	c861b1ec2e390a9906dec7ee827ab766_bacteria	0.038	0.1901	Positive
55e2f6614bc214f35d8745edeee16727_bacteria	c861b1ec2e390a9906dec7ee827ab766_bacteria	0.001	0.4801	Positive
5d0942009326032f72c94ca27dc2015d_bacteria	c861b1ec2e390a9906dec7ee827ab766_bacteria	0.001	0.4029	Positive
61781934a20bd3368b0737d605f29468_bacteria	c861b1ec2e390a9906dec7ee827ab766_bacteria	0.025	0.1962	Positive
11d0b6aaf61245ed190220edb6779865_bacteria	c861b1ec2e390a9906dec7ee827ab766_bacteria	0.001	0.3428	Positive
0c0605a3c4b75dfc31857a9167487df1_bacteria	c861b1ec2e390a9906dec7ee827ab766_bacteria	0.001	0.4062	Positive
334a4708e1cedc4f04c44f0f47d2f29e_bacteria	c861b1ec2e390a9906dec7ee827ab766_bacteria	0.001	0.3888	Positive
0cb8dc0c56bd0e3524dba46d210b26c9_bacteria	c861b1ec2e390a9906dec7ee827ab766_bacteria	0.001	0.377	Positive
30432de9f6dd4c74cc5042a8d0ece70f_bacteria	c861b1ec2e390a9906dec7ee827ab766_bacteria	0.024	-0.1872	Negative
ce8fe047f6c78ee3610cc355efd59beb_bacteria	c861b1ec2e390a9906dec7ee827ab766_bacteria	0.034	0.1794	Positive
0fcb5a5bdacde5be7714f3ec7f1658cb_bacteria	c861b1ec2e390a9906dec7ee827ab766_bacteria	0.005	-0.2046	Negative
9fc26e6596f0b0189c6b268cc4d8d67b_fungi	c861b1ec2e390a9906dec7ee827ab766_bacteria	0.017	-0.2121	Negative
89206af4589b68a36b3313e1be7c6448_fungi	c861b1ec2e390a9906dec7ee827ab766_bacteria	0.001	-0.3027	Negative
9a06988e426d7ef4663c568dcd331ca0_fungi	c861b1ec2e390a9906dec7ee827ab766_bacteria	0.04	-0.1696	Negative
5743cd46a67f26fc2a0a910a35f1b12f_fungi	c861b1ec2e390a9906dec7ee827ab766_bacteria	0.013	-0.2138	Negative
55d3ffaf20a40a432de7989e6d6d5a00_fungi	c861b1ec2e390a9906dec7ee827ab766_bacteria	0.022	-0.1763	Negative
c0a6013edcd750f053a34cc2e955055c_fungi	c861b1ec2e390a9906dec7ee827ab766_bacteria	0.001	-0.2795	Negative
25f16fb9e13dc11d9cdb2563441d93ea_fungi	c861b1ec2e390a9906dec7ee827ab766_bacteria	0.003	-0.2223	Negative
4745af0659fd8962bab4c6f134456248_fungi	c861b1ec2e390a9906dec7ee827ab766_bacteria	0.027	-0.1771	Negative
b5b89cca5a0cb0c01db814cb6f693f9f_fungi	c861b1ec2e390a9906dec7ee827ab766_bacteria	0.035	-0.1766	Negative
6f919188220b0c82be4439bb63dd189e_fungi	c861b1ec2e390a9906dec7ee827ab766_bacteria	0.029	-0.1725	Negative
8da1ea508fd29598a72e6a69c9fb5bad_fungi	c861b1ec2e390a9906dec7ee827ab766_bacteria	0.049	-0.17	Negative
5f279c746c8e0dc1b9305887f0cbae5a_fungi	c861b1ec2e390a9906dec7ee827ab766_bacteria	0.006	-0.2224	Negative
394dace7cd674dc9355c4f64bfada83f_eukaryote	c861b1ec2e390a9906dec7ee827ab766_bacteria	0.047	-0.1825	Negative
2a260e6160f0ac4a2e115072d5b0cd0f_eukaryote	c861b1ec2e390a9906dec7ee827ab766_bacteria	0.04	-0.1559	Negative
850f9456f23d337e109baafd956b54d6_eukaryote	c861b1ec2e390a9906dec7ee827ab766_bacteria	0.042	-0.1518	Negative
5d45291972b34cd7f9c4cd55ca8a95ea_bacteria	0a78918b318c9a666440b19941b2c94e_bacteria	0.012	0.2241	Positive
fb613c9c4a86c7589b321ffb051a485c_bacteria	0a78918b318c9a666440b19941b2c94e_bacteria	0.004	0.2242	Positive
6b9ca3313d241ab32629d7d007bfa458_bacteria	0a78918b318c9a666440b19941b2c94e_bacteria	0.046	-0.1386	Negative
12907f7fde00bb40c358a652d79ffcb6_fungi	0a78918b318c9a666440b19941b2c94e_bacteria	0.021	-0.1996	Negative
5743cd46a67f26fc2a0a910a35f1b12f_fungi	0a78918b318c9a666440b19941b2c94e_bacteria	0.041	-0.168	Negative
55d3ffaf20a40a432de7989e6d6d5a00_fungi	0a78918b318c9a666440b19941b2c94e_bacteria	0.039	-0.1572	Negative
4745af0659fd8962bab4c6f134456248_fungi	0a78918b318c9a666440b19941b2c94e_bacteria	0.006	-0.2028	Negative
2b58ac3373c047a1eebbf7a75e2e0552_fungi	0a78918b318c9a666440b19941b2c94e_bacteria	0.001	0.2556	Positive
cc72eaa86c2be573136acdf59cda9fc3_oomycete	0a78918b318c9a666440b19941b2c94e_bacteria	0.003	0.2577	Positive
5a7fabdfc2b1915ca336712e300eb727_eukaryote	0a78918b318c9a666440b19941b2c94e_bacteria	0.003	0.2927	Positive
3f795849e5ab98c40f875a580004f9f7_eukaryote	0a78918b318c9a666440b19941b2c94e_bacteria	0.043	0.1633	Positive
6296e399d6b6f58b22cb3ffc96a1bcfe_eukaryote	0a78918b318c9a666440b19941b2c94e_bacteria	0.006	-0.2091	Negative
5d0942009326032f72c94ca27dc2015d_bacteria	55e2f6614bc214f35d8745edeee16727_bacteria	0.001	0.2842	Positive
61781934a20bd3368b0737d605f29468_bacteria	55e2f6614bc214f35d8745edeee16727_bacteria	0.007	0.2508	Positive
11d0b6aaf61245ed190220edb6779865_bacteria	55e2f6614bc214f35d8745edeee16727_bacteria	0.001	0.3109	Positive
0c0605a3c4b75dfc31857a9167487df1_bacteria	55e2f6614bc214f35d8745edeee16727_bacteria	0.006	0.2506	Positive
334a4708e1cedc4f04c44f0f47d2f29e_bacteria	55e2f6614bc214f35d8745edeee16727_bacteria	0.002	0.3282	Positive
0cb8dc0c56bd0e3524dba46d210b26c9_bacteria	55e2f6614bc214f35d8745edeee16727_bacteria	0.006	0.2555	Positive
ad1bc6953fe661253a1301a0dffd0535_bacteria	55e2f6614bc214f35d8745edeee16727_bacteria	0.019	0.1963	Positive
