Id,name,BetweennessCentrality,ClosenessCentrality,Degree,NeighborhoodConnectivity,Stress,Radiality,TopologicalCoefficient,kingdom,a_d_vis
0108,d0c26a44a7a8b6ee4ba716861fc44da2_bacteria,0.0027565616884803,0.567032967032967,61,69.50819672131148,2526,0.9947700966337476,0.2694116151988817,bacteria,0
0109,eb9cdec519d0a08dcfb47dfac31c9b82_bacteria,0.0038659940676015,0.5797752808988764,71,68.02816901408451,3412,0.9950355739619836,0.2636750736980019,bacteria,0
0110,59f72dd6eaf2a9d277540becada0fb4c_bacteria,0.0029243155403279,0.5810810810810811,72,76.29166666666667,3216,0.9950621216948072,0.295704134366925,bacteria,0
0111,41701e0adab2a616c9ee9b352beca639_bacteria,0.0012667801882313,0.5477707006369427,46,74.06521739130434,1256,0.9943453329085696,0.2881915073591609,bacteria,0
0113,c256985cf7f385fa0e158aac9692f64d_bacteria,0.0030272333579356,0.5620915032679739,57,63.24561403508772,2382,0.9946639057024532,0.2451380388956888,bacteria,0
0115,62690921189900b625d68933a083f144_bacteria,0.0035083120222172,0.5758928571428572,68,68.79411764705883,3192,0.9949559307635129,0.2666438668490652,bacteria,0
0116,cb322f93327b32468a9fd72aed3afa8a_bacteria,0.0030219106258159,0.5584415584415584,55,62.36363636363637,2450,0.9945842625039822,0.2426600636717368,bacteria,0
0120,1c4babd5c824cef4804874bbb6b29ab9_bacteria,0.0023191884690218,0.5645514223194749,59,73.62711864406779,2308,0.9947170011681002,0.285376428852976,bacteria,0
0122,4745af0659fd8962bab4c6f134456248_fungi,0.0022249886974644,0.5512820512820513,48,65.54166666666667,1806,0.9944249761070404,0.2540374677002584,fungi,0
0123,7d8361bafb81458a6092cf72051fb8ba_fungi,0.003162673150819,0.5633187772925764,58,66.56896551724138,2692,0.9946904534352766,0.2580192461908581,fungi,0
0124,2b58ac3373c047a1eebbf7a75e2e0552_fungi,0.0030286442427947,0.5633187772925764,58,68.89655172413794,2720,0.9946904534352766,0.2670408981555733,fungi,0
0127,5a7fabdfc2b1915ca336712e300eb727_eukaryote,0.0022750491045609,0.5633187772925764,58,73.72413793103448,2166,0.9946904534352766,0.2857524726009088,eukaryote,1
0128,99318de41dd49424cad9bf4501ab86ce_eukaryote,0.0027838089415406,0.5707964601769911,64,74.125,2806,0.9948497398322184,0.2873062015503876,eukaryote,0
0131,5d0942009326032f72c94ca27dc2015d_bacteria,0.0015517037975613,0.5572354211663066,53,73.15094339622641,1622,0.9945577147711586,0.2835307883574667,bacteria,0
0133,334a4708e1cedc4f04c44f0f47d2f29e_bacteria,0.0030609867856076,0.589041095890411,78,76.58974358974359,3426,0.9952214080917487,0.2968594712780759,bacteria,0
0135,6f0c774f7177fa246b2e3d023979a44d_bacteria,0.0025293671167596,0.5596529284164858,55,66.87272727272727,2170,0.994610810236806,0.2591966173361522,bacteria,0
0136,64f1fc5334789b8bb3ffa75ff021ed6c_bacteria,0.0016038114792859,0.542016806722689,40,64.575,1188,0.9942125942444516,0.2502906976744186,bacteria,0
0138,bc4dcedbb783ae6fa7d42e19730bbd6a_fungi,0.0035691259605665,0.583710407239819,74,72.79729729729729,3568,0.9951152171604544,0.282160067043788,fungi,0
0139,d6e7187575c837cc355b39cb4c72f1b7_eukaryote,0.0020619476858695,0.5596529284164858,55,70.10909090909091,2084,0.994610810236806,0.2717406624383368,eukaryote,0
0140,5c71206f2fadd330c5295bb2b8e24c9d_eukaryote,0.005418029633458,0.6042154566744731,89,73.76404494382022,5156,0.9955134331528088,0.2859071509450396,eukaryote,0
0141,a654a25725fefee58e879aa11f5011b6_eukaryote,0.0027735793691049,0.5620915032679739,57,64.50877192982456,2230,0.9946639057024532,0.2500339997280021,eukaryote,0
0142,d56db645940d7263cd904f96f3e2258f_eukaryote,0.002824761203648,0.5645514223194749,59,66.71186440677967,2544,0.9947170011681002,0.2585731178557351,eukaryote,0
0143,737804271196e9ba022de8d2c10afec9_eukaryote,0.0030413786766701,0.5958429561200923,83,79.73493975903614,3630,0.9953541467558672,0.3090501541047912,eukaryote,0
0145,871638cacece191a60d3f3fe9407c592_bacteria,0.0050919354373111,0.5944700460829493,82,71.01219512195122,4544,0.9953275990230436,0.275241066364152,bacteria,0
0146,1ce72f2cc8eba8fb0a3b299aa0e53526_bacteria,0.0037447426854238,0.5863636363636364,76,74.88157894736842,3810,0.9951683126261016,0.2902386780905753,bacteria,0
0148,6296e399d6b6f58b22cb3ffc96a1bcfe_eukaryote,0.0022054055195732,0.5431578947368422,42,58.142857142857146,1374,0.9942391419772753,0.226236798221234,eukaryote,0
0149,a76ff1e570245a93affb4ac8a7e97b5a_eukaryote,0.0025070092132043,0.567032967032967,63,71.6984126984127,2488,0.9947700966337476,0.2800719246031746,eukaryote,0
0152,30432de9f6dd4c74cc5042a8d0ece70f_bacteria,0.0011081048941828,0.5386221294363257,37,64.83783783783784,938,0.9941329510459808,0.2513094489838676,bacteria,0
0153,e1a8c7e8c3549b8c8130fe8c6d366052_bacteria,0.0058908031688244,0.6142857142857143,96,71.73958333333333,6264,0.995699267282574,0.2780604005167958,bacteria,0
0154,958e14f4806af8a06db61870561138f7_bacteria,0.0032883422987791,0.5944700460829493,82,79.85365853658537,3882,0.9953275990230436,0.3095103044053696,bacteria,0
0155,96ebb5a9fbca50d3964296bb818d9861_bacteria,0.0054784098138599,0.5944700460829493,82,66.90243902439025,4590,0.9953275990230436,0.2593117791643032,bacteria,0
0156,a3b134fae5f1a2aa2a17c919b5c3a922_bacteria,0.0026887601756422,0.5810810810810811,72,75.47222222222223,3004,0.9950621216948072,0.2925279931093885,bacteria,0
0157,58fe37239368831978117dc5136718fe_bacteria,0.0049187855493915,0.6042154566744731,89,75.68539325842697,5088,0.9955134331528088,0.2933542374357634,bacteria,0
0158,ed6fcc3e0305e5fa551e1c67f33c1226_bacteria,0.0030605731269861,0.6,86,83.40697674418605,4050,0.995433789954338,0.3232828555976203,bacteria,0
0159,8592bfbdc869e66e390f54ea07547ee2_bacteria,0.004191125593698,0.593103448275862,82,73.6219512195122,4458,0.99530105129022,0.2864667362626933,bacteria,0
0160,a50637e49cb2e7062c4fe563e8804b5c_bacteria,0.0042647014234099,0.6216867469879518,101,82.87128712871286,5820,0.995832005946692,0.321206539258577,bacteria,0
0161,b598deaaba68fcee9069b4ac1f0ffe7c_bacteria,0.0034075596953157,0.5863636363636364,76,77.09210526315789,3600,0.9951683126261016,0.2988066095471236,bacteria,0
0163,64d446be25ef73bf9cdd2d1c75b28328_bacteria,0.0044173147600123,0.6056338028169014,90,74.81111111111112,4882,0.9955399808856324,0.2899655469422911,bacteria,0
0164,80096a00a83bc1748d934c8ab64da932_bacteria,0.0026731346167533,0.5771812080536913,69,74.44927536231884,2872,0.9949824784963364,0.2885630827996854,bacteria,0
0165,dec10876dd1b063c2977675a952e5613_bacteria,0.0038553464450172,0.6042154566744731,89,76.73033707865169,4806,0.9955134331528088,0.2974044072815957,bacteria,0
0166,87103294ec0841cff3f2187f1fb565c5_bacteria,0.0024372258461334,0.5733333333333334,66,76.24242424242425,2610,0.9949028352978656,0.2955132722574583,bacteria,0
0167,eec64780e6b621c93e5dc66bc10bed22_bacteria,0.0051319516839691,0.6113744075829384,94,80.34042553191489,5424,0.9956461718169268,0.3113969981857166,bacteria,0
0169,de0aa684ed3e574308e5ab48ff90cdb0_bacteria,0.0011875144314531,0.5477707006369427,46,74.17391304347827,1212,0.9943453329085696,0.2886144476399932,bacteria,0
0170,e02440bc2cf2fbd51ab6c6a48c297786_fungi,0.0019082174932454,0.567032967032967,61,75.11475409836065,2214,0.9947700966337476,0.2911424577455839,fungi,0
0171,38602a6800aaaa7afecb0bb60fbab974_fungi,0.0035807971391605,0.5645514223194749,59,64.57627118644068,2776,0.9947170011681002,0.250295624753646,fungi,0
0172,c0a6013edcd750f053a34cc2e955055c_fungi,0.0032499768945949,0.5797752808988764,71,73.97183098591549,3236,0.9950355739619836,0.2867125232012228,fungi,0
0173,c99c3c0cde268c3acc40ddb4ca470d52_fungi,0.0033618742612954,0.591743119266055,80,75.35,3830,0.995274503557396,0.2920542635658915,fungi,0
0175,3594bd84689e1249077661feb03ed8ba_fungi,0.0037379316667741,0.593103448275862,81,78.50617283950618,4054,0.99530105129022,0.3042874916259929,fungi,0
0176,08abdffc486630512a1123f8c3bdc96c_fungi,0.0019517969726577,0.5633187772925764,58,73.10344827586206,2074,0.9946904534352766,0.2833466987436514,fungi,2
0177,980fd6278b58656a704d9d0db1f6d1fd_fungi,0.0027719982039876,0.5758928571428572,69,74.1304347826087,2892,0.9949559307635129,0.2884452715276603,fungi,0
