Node1	Node2	Pvalue	Cor	CorrType
2ec351ef72927f2bc76225d8277dc602_bacteria	6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria	0.001	0.2885	Positive
d4143a84fa86f4939237b7d4e33cfc4d_bacteria	6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria	0.001	-0.3959	Negative
8c4947f4462ed1efbb71564b6c9aa0cb_bacteria	6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria	0.001	-0.2766	Negative
04efe6cf2bccd3ca201367c04c79f8f9_bacteria	6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria	0.004	0.2041	Positive
f733c60397f7fc312c9cdce5c6d9aba1_bacteria	6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria	0.014	-0.2127	Negative
db38587cad3ac0e5373ae4ad85d4d1f6_bacteria	6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria	0.005	-0.2263	Negative
8cf55f42a9d1f25bc15720205db748b4_bacteria	6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria	0.014	-0.1994	Negative
79cdbdf95f8596a1e17750c68ea553e9_bacteria	6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria	0.005	-0.2475	Negative
dee54165b25b1b80bf40b51130dc690d_bacteria	6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria	0.004	-0.2551	Negative
623e85cafaa7d77615b1f2c4a51a4e58_bacteria	6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria	0.001	0.2324	Positive
7aa9b372d4c2cd1b6390bfd19e9a11a6_bacteria	6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria	0.013	-0.1701	Negative
701694874cb668b3c8b28556d6894c31_bacteria	6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria	0.016	0.1675	Positive
e8a00294b8c3eaba89084e969d4b3d09_bacteria	6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria	0.041	0.1545	Positive
e2b4a9650cb0b33c1220554634223c59_bacteria	6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria	0.042	0.1492	Positive
